NCT_ID,Title,Sponsor,Has_Protocol_Doc,Planned_Enrollment,Allocation,URL
NCT04581382,"Radiation Therapy, Plasma Exchange, and Immunotherapy (Pembrolizumab or Nivolumab) for the Treatment of Melanoma",Mayo Clinic,False,18,NA,https://clinicaltrials.gov/study/NCT04581382
NCT05651178,Human CD19-CD22 Targeted T Cells Injection for Refractory/Relapsed Central Nervous System Leukemia/Lymphoma Patients,"Hrain Biotechnology Co., Ltd.",False,10,NA,https://clinicaltrials.gov/study/NCT05651178
NCT03543969,Adaptive BRAF-MEK Inhibitor Therapy for Advanced BRAF Mutant Melanoma,H. Lee Moffitt Cancer Center and Research Institute,False,14,RANDOMIZED,https://clinicaltrials.gov/study/NCT03543969
NCT02223117,Evaluation of the Safety and Immunogenicity of Autologous Thrombosomes® in Healthy Human Subjects; A Microdose Escalation Study (Cohorts 1 - 4) and Repeat Microdose Immunogenicity Study (Cohort 5),"Cellphire Therapeutics, Inc.",False,15,RANDOMIZED,https://clinicaltrials.gov/study/NCT02223117
NCT06971250,Peripheral KV7 Activation for Pain Relief,Stefan Heber,False,32,RANDOMIZED,https://clinicaltrials.gov/study/NCT06971250
NCT03426969,"Combination Chemotherapy, Total Body Irradiation, and Donor Blood Stem Cell Transplant in Treating Patients With Primary or Secondary Myelofibrosis",M.D. Anderson Cancer Center,False,3,NA,https://clinicaltrials.gov/study/NCT03426969
NCT00954369,Exploratory and Safety Study of [F-18]W372,Siemens Molecular Imaging,False,24,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT00954369
NCT07387666,Imaging Acetadote Metabolism in Glioblastoma,University of Texas Southwestern Medical Center,False,10,NA,https://clinicaltrials.gov/study/NCT07387666
NCT04895566,Phase 0/1 Local Application of the Monoclonal Antibody (Mab) sB24M in Patients With Purulent Pyoderma,SWISS BIOPHARMA MED GmbH,False,10,NA,https://clinicaltrials.gov/study/NCT04895566
NCT02421575,Hydroxychloroquine in Blocking Autophagy in Patients With Prostate Cancer Undergoing Surgery or Active Surveillance,"Rutgers, The State University of New Jersey",False,4,RANDOMIZED,https://clinicaltrials.gov/study/NCT02421575
NCT04494113,"Testing the Response to the Anti-cancer Drug, Triapine, in Uterine Cancers Using Markers From the Tissue at the Time of Hysterectomy",National Cancer Institute (NCI),False,12,NA,https://clinicaltrials.gov/study/NCT04494113
NCT05464810,"Letrozole With and Without Simvastatin for the Treatment of Stage I-III Hormone Receptor Positive, HER2 Negative Breast Cancer",Emory University,False,40,RANDOMIZED,https://clinicaltrials.gov/study/NCT05464810
NCT06305962,177Lu-anti-PD-L1 sdAb in Metastatic Solid Tumors,"Radiopharm Theranostics, Ltd",False,30,NA,https://clinicaltrials.gov/study/NCT06305962
NCT06636162,Window of Opportunity Study of DSP-0390 in Gliomas,Washington University School of Medicine,False,20,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT06636162
NCT06613841,"Multitracer [18F]Fluciclovine and 18F-FDG PET, and Advanced MRI for Metabolic Profiling of Glioblastoma",Abramson Cancer Center at Penn Medicine,False,15,NA,https://clinicaltrials.gov/study/NCT06613841
NCT05908773,A Microdose Study of TTX-MC138-NODAGA-Cu64 in Subjects With Advanced Solid Tumors,TransCode Therapeutics,False,1,NA,https://clinicaltrials.gov/study/NCT05908773
NCT04674722,HER2 Expression Detection and Radionuclide Therapy in Breast Cancer Using 99mTc/188Re Labeled Single Domain Antibody,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",False,43,RANDOMIZED,https://clinicaltrials.gov/study/NCT04674722
NCT07268053,"A Phase 0/1 Clinical Trial With an Expansion Phase of GSK5764227, a B7-H3-Targeted Antibody-Drug Conjugate (ADC), in Patients With Recurrent Grade 4 Glioma and Patients With Brain Metastases",Nader Sanai,False,15,NA,https://clinicaltrials.gov/study/NCT07268053
NCT04217694,Memantine for the Reduction of Cognitive Impairment After Radiation Therapy in Pediatric Patients With Central Nervous System Tumors,Mayo Clinic,False,18,NA,https://clinicaltrials.gov/study/NCT04217694
NCT01733355,"A Phase 0, Open Label, Multi-center Exploratory and Safety Study of [F-18]T807",Avid Radiopharmaceuticals,False,11,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT01733355
NCT04869449,Neuro-pharmacological Properties of Repurposed Ketoconazole in Glioblastomas,Milton S. Hershey Medical Center,False,1,NA,https://clinicaltrials.gov/study/NCT04869449
NCT03695926,Assessment of [18F]MNI-1054 as a Marker for LSD1,Invicro,False,4,NA,https://clinicaltrials.gov/study/NCT03695926
NCT07164027,"Comparing a New PSMA Imaging Agent to MRI for Detecting Prostate Cancer, BEACON Trial",Jonsson Comprehensive Cancer Center,False,30,NA,https://clinicaltrials.gov/study/NCT07164027
NCT07284069,Senicapoc and Perampanel for Newly Diagnosed Glioblastoma,Aarhus University Hospital,False,36,RANDOMIZED,https://clinicaltrials.gov/study/NCT07284069
NCT05280782,Development and Translation of Generator-Produced PET Tracer for Myocardial Perfusion Imaging-Dosimetry Group,Washington University School of Medicine,True,8,NA,https://clinicaltrials.gov/study/NCT05280782
NCT03510572,Evaluation of [18F]PI-2620 as a Potential Positron Emission Computed Tomography Radioligand for Imaging Tau Protein in the Brain,Asan Medical Center,False,20,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT03510572
NCT05783830,Study Evaluating the Pharmacokinetics of a Single Microdose of ACD856,AlzeCure Pharma,False,6,NA,https://clinicaltrials.gov/study/NCT05783830
NCT04005690,Targeted Pathway Inhibition in Patients With Pancreatic Cancer,OHSU Knight Cancer Institute,False,90,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT04005690
NCT04158817,68Ga-THP-PSMA PET/CT in Prostate Cancer: Clinical Stage and Restage,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",False,8,NA,https://clinicaltrials.gov/study/NCT04158817
NCT05798507,Identification of Treatment Concentrations of Defactinib or VS-6766 for the Treatment of Patients With Glioblastoma,Emory University,True,14,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT05798507
NCT01209676,IMCgp100 in Advanced Unresectable Melanoma,University of Pennsylvania,False,1,NA,https://clinicaltrials.gov/study/NCT01209676
NCT02901925,A Microdose Evaluation Study of ABY-029 in Recurrent Glioma,Dartmouth-Hitchcock Medical Center,True,14,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT02901925
NCT02605655,Clinical Trial of Chinese Formula AMP-1915 on Metabolic Syndrome,Shanghai University of Traditional Chinese Medicine,False,60,RANDOMIZED,https://clinicaltrials.gov/study/NCT02605655
NCT06072586,A Phase 0/1 Study of BDTX-1535 in Recurrent High-Grade Glioma (rHGG) and Newly Diagnosed Glioblastoma (nGBM) Participants With EGFR Alterations or Fusions,"St. Joseph's Hospital and Medical Center, Phoenix",False,82,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT06072586
NCT05818514,A PET Study to Determine Biodistribution and Binding Characteristics of [11C]AZ14132516 in Healthy Participants,AstraZeneca,False,8,NA,https://clinicaltrials.gov/study/NCT05818514
NCT01724619,Update and Biodistribution of [F-18]FMDHT pET/CT in Normal Healthy Volunteers and Patients With Metastatic Prostate Cancer - A First in Human Subject Study With [F-18] FMDHT,Wake Forest University Health Sciences,False,7,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT01724619
NCT06798636,PsiloIMAGINE: A Psychedelic-augmented Mental Imagery-based Intervention for Young People With Self-harm,Imperial College London,True,30,RANDOMIZED,https://clinicaltrials.gov/study/NCT06798636
NCT03471364,Ketoconazole in Treating Participants With Ongoing EGFR Inhibitor-Induced Rash,Mayo Clinic,False,58,RANDOMIZED,https://clinicaltrials.gov/study/NCT03471364
NCT06378398,A Trial of Omeprazole and Low Dose Aspirin to Identify Colorectal Biomarkers of Preventive Efficacy,University of Michigan Rogel Cancer Center,False,21,NA,https://clinicaltrials.gov/study/NCT06378398
NCT06664151,A Phase 0 Window of Opportunity Trial of Intratumoral Seasonal Influenza Immunization in Cutaneous Squamous Cell Carcinoma (CSCC) Patients Awaiting Curative Excision,Dana-Farber Cancer Institute,False,25,NA,https://clinicaltrials.gov/study/NCT06664151
NCT04797728,"Elacestrant in Preoperative Setting, a Window of Opportunity Study",SOLTI Breast Cancer Research Group,False,23,NA,https://clinicaltrials.gov/study/NCT04797728
NCT00743353,"Exploratory, Phase 0 Study of Positron Emission Tomography (PET) Imaging Agent, F-18 RGD-K5",Siemens Molecular Imaging,False,16,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT00743353
NCT05045066,Immunological Effects of Vitamin D Replacement Among Black/African American Prostate Cancer Patients,Mayo Clinic,False,220,NA,https://clinicaltrials.gov/study/NCT05045066
NCT04559685,Study of Sonodynamic Therapy in Participants With Recurrent High-Grade Glioma,Nader Sanai,False,10,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT04559685
